CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
9559447,2023,2023-03-29,1956,2023-02-20,1817,1327,1,1,5,5,1956,0,0,0,,0,001,"PALOS VERDES BL","SOUTH CATALINA AV",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,03,22350,,N,D,G,A,A,H,-,C,A,0,,Y,,,Y,,L,04,0,0,1,0,0,0,1,0,0,"- ","- ",,,"LOS ANGELES","REDONDO BEACH",-118.38658905029297,33.815402984619141
9602263,2023,2023-08-11,1942,2023-06-24,1930,45126,2081,6,5,7,1942,0,0,0,,0,20A71W,"WASHINGTON BL","GRAMERCY PL",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,09,21801,A,F,D,G,A,A,H,-,A,A,0,,Y,,,Y,,L,04,0,0,1,0,0,0,1,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.31332397460938,34.039909362792969
9609477,2023,2023-09-07,1942,2023-08-19,2020,38357,,6,5,7,1942,0,0,0,,0,24T31,"NORTH SPRING ST","MESNAGER ST",11.00,S,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,03,22350,,F,C,G,A,A,H,-,C,D,0,,Y,,,Y,,-,99,1,0,0,0,0,0,1,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.22917938232422,34.068820953369141
9629692,2023,2023-11-02,1900,2023-09-07,1843,499039,1515,4,5,5,1954,0,0,0,,0,151T2,"PASSONS BL","BALFOUR ST",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,11,21950,B,N,D,G,A,A,H,-,A,A,0,,Y,,,Y,,A,07,0,1,0,0,0,0,1,0,0,"- ","- ",33.986148834228516,-118.08570861816406,"LOS ANGELES","PICO RIVERA",-118.08563232421875,33.986221313476562
9652418,2023,2024-02-15,1910,2023-12-28,1725,04712,,4,5,4,1910,0,0,0,,0,009,"WILSHIRE BL","S DOHENY DR",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,05,21202,A,N,D,G,A,A,H,-,C,A,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",34.066921234130859,-118.38977813720703,"LOS ANGELES","BEVERLY HILLS",-118.38972473144531,34.067062377929688
9675438,2023,2024-03-05,1900,2023-11-02,1715,547820,1321,4,5,5,1935,0,0,0,,0,132W1,"CLARK AV","CANDLEWOOD AV",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,05,21650,,N,D,-,A,A,H,-,A,D,0,,Y,,,Y,,L,04,0,0,1,0,0,0,1,0,0,"- ","- ",,,"LOS ANGELES",LAKEWOOD,-118.1337890625,33.853660583496094
9694598,2023,2024-04-25,1942,2023-11-22,0935,42788,0807,3,5,7,1942,0,0,0,H,0,27TL29,"N BEVERLY GLEN BLVD","RUTHVEN LN",343.00,S,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,09,21804,A,N,H,G,A,A,H,-,A,A,0,,Y,,,Y,,A,01,1,0,0,0,0,0,1,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.44666290283203,34.111682891845703
82134914,2023,2023-08-03,1933,2023-07-31,1527,812,32,1,5,6,1933,0,0,0,,0,004,"YUKON AV","108TH ST",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,D,-,00,,,N,H,G,A,A,H,-,A,A,0,,Y,,,Y,,-,"- ",0,1,0,0,0,0,1,0,0,"- ","- ",33.937751770019531,-118.33487701416016,"LOS ANGELES",INGLEWOOD,-118.33489990234375,33.937721252441406
82354733,2023,2024-04-03,1955,2023-12-28,0200,42685,0030,4,5,6,1955,0,0,0,,0,002,"HARRISON AVE","HOLLANDER ST",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,12,22450,A,F,D,G,A,A,H,-,C,A,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",34.099018096923828,-117.74073028564453,"LOS ANGELES",POMONA,-117.74071502685547,34.098983764648438
92010665,2023,2023-03-06,9535,2023-02-22,1600,022269,,3,2,9,1900,0,3,5,,2,004,BROADWAY,"BURTON AVE.",0.00,,Y,B,-,N,,,,,,,,,,N,3,0,1,2,A,-,09,21804,A,N,D,G,A,B,H,-,A,D,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",34.099010467529297,-118.08152008056641,"LOS ANGELES",UNINCORPORATED,-118.08145904541016,34.099075317382812
