GEO_ID,FIPS,Census_Tract_Name,Total population,Area_km2,Population Density
1400000U,06037101110,1011.1,4152,1.142399546778089,3634.45522340226
1400000U,06037101122,1011.22,4198,2.6440463139792474,1587.718028161949
1400000U,06037101220,1012.2,3434,0.6988841406252426,4913.546896239255
1400000U,06037101221,1012.21,3931,0.3541764765538072,11098.98669231014
1400000U,06037101222,1012.22,2572,0.29651301854680573,8674.155396633958
1400000U,06037101300,1013,4210,2.5804829062119605,1631.477577264831
1400000U,06037101400,1014,3489,6.310054865167157,552.9270465237983
1400000U,06037102103,1021.03,2054,1.1864887310026246,1731.1584563169831
1400000U,06037102104,1021.04,4052,1.6588218861751403,2442.6974552059805
1400000U,06037102105,1021.05,1664,0.4927607231409613,3376.8925197473354
1400000U,06037102107,1021.07,3595,12.922313324455711,278.20096214478855
1400000U,06037103101,1031.01,2705,2.02980771205774,1332.6385469576212
1400000U,06037103102,1031.02,4468,1.2410232156810894,3600.2549698862035
1400000U,06037103201,1032.01,4425,1.9547921724908794,2263.667750603624
1400000U,06037103202,1032.02,1945,4.738406784186112,410.4755223825894
1400000U,06037103300,1033,4021,6.141954710358251,654.6775724703222
1400000U,06037103401,1034.01,2552,1.401637294841949,1820.7278083933745
1400000U,06037103402,1034.02,3809,1.0991154338241877,3465.514069570676
1400000U,06037104103,1041.03,4257,0.949108471920282,4485.261828278734
1400000U,06037104105,1041.05,5890,0.5846832302596825,10073.830914192635
1400000U,06037104108,1041.08,4952,1.0966362211795058,4515.626881878653
1400000U,06037104124,1041.24,4090,4.480364430978945,912.8721698887223
1400000U,06037104201,1042.01,4325,1.0900960414023069,3967.540322810723
1400000U,06037104203,1042.03,4978,0.7079899182550953,7031.173568500421
1400000U,06037104204,1042.04,3736,2.6643271360225187,1402.230210205097
1400000U,06037104310,1043.1,4476,1.5086270478302688,2966.9360670932247
1400000U,06037104321,1043.21,2926,0.5198580667968589,5628.459356279204
1400000U,06037104322,1043.22,1856,0.6923115988204805,2680.8737614134197
1400000U,06037104401,1044.01,3083,0.681117087298956,4526.387690882888
1400000U,06037104403,1044.03,2292,0.6930803831282327,3306.9757214235533
1400000U,06037104404,1044.04,3374,0.5396207716503322,6252.539148337884
1400000U,06037104500,1045,3539,0.5310039218322656,6664.734203447004
1400000U,06037104610,1046.1,3124,0.5921368812234991,5275.807163953468
1400000U,06037104620,1046.2,3266,0.5311718325221685,6148.669413609566
1400000U,06037104701,1047.01,3916,0.5505038200368669,7113.483789699675
1400000U,06037104703,1047.03,2306,1.1682380191229826,1973.9128176389568
1400000U,06037104704,1047.04,4662,1.6631269107117967,2803.1534875499815
1400000U,06037104821,1048.21,3476,0.5318019365075256,6536.268037735531
1400000U,06037104822,1048.22,2199,0.6043534617383868,3638.5991629380387
1400000U,06037104823,1048.23,3195,0.5313352610921097,6013.15258737577
1400000U,06037104824,1048.24,2582,0.5920274929826601,4361.283944756978
1400000U,06037106010,1060.1,4049,2.5178081750832395,1608.1447506882207
1400000U,06037106020,1060.2,4850,2.017907754832165,2403.4795388371895
1400000U,06037106111,1061.11,4707,2.786638445633566,1689.131938653715
1400000U,06037106112,1061.12,5035,3.228472842819919,1559.5608961672926
1400000U,06037106113,1061.13,3835,1.4434638259283565,2656.803676762415
1400000U,06037106114,1061.14,6929,1.014416948398145,6830.524678182389
1400000U,06037106403,1064.03,3860,1.1056424935510683,3491.1827489576417
1400000U,06037106405,1064.05,4149,1.1717348241927643,3540.903551158295
1400000U,06037106406,1064.06,6292,2.013733159149612,3124.5450626919587
1400000U,06037106407,1064.07,2333,0.23213574427196754,10050.154091162645
1400000U,06037106408,1064.08,3832,0.22907175600486762,16728.3826990813
1400000U,06037106510,1065.1,5599,5.79040716220252,966.9440927311726
1400000U,06037106520,1065.2,5484,2.2058817438339378,2486.0806864780166
1400000U,06037106603,1066.03,3681,10.321163650564706,356.6458322554163
1400000U,06037106604,1066.04,4349,2.620409716717206,1659.6641251385433
1400000U,06037106641,1066.41,2096,1.1354901644920543,1845.898859844036
1400000U,06037106642,1066.42,3514,1.5775966012202092,2227.4388758710934
1400000U,06037106643,1066.43,4311,4.338939370851706,993.5607833012376
1400000U,06037106645,1066.45,3672,2.527934875024454,1452.569065872189
1400000U,06037106646,1066.46,3092,1.4762148958747443,2094.5459964132174
1400000U,06037106648,1066.48,4713,0.7929280382968142,5943.79284420738
1400000U,06037106649,1066.49,2689,1.1126729712313188,2416.702903301649
1400000U,06037107010,1070.1,2997,0.6846702170198424,4377.289862329653
