LATITUDE,LONGITUDE,FIPS,CITY,COLLISION_SEVERITY,COLLISION_TIME,Income_Category,Median_Household_Income,geometry
33.98614883422852,-118.08570861816406,06037500800,PICO RIVERA,3,1843,Middle Income,114310.0,POINT (-118.08570861816406 33.98614883422852)
34.06692123413086,-118.38977813720705,06037700902,BEVERLY HILLS,3,1725,Middle Income,103460.0,POINT (-118.38977813720705 34.06692123413086)
33.93775177001953,-118.33487701416016,06037601900,INGLEWOOD,3,1527,Low Income,65215.0,POINT (-118.33487701416016 33.93775177001953)
34.09901809692383,-117.74073028564452,06037401707,POMONA,3,200,Middle Income,73250.0,POINT (-117.74073028564452 34.09901809692383)
34.0990104675293,-118.0815200805664,06037481203,UNINCORPORATED,3,1600,Middle Income,79504.0,POINT (-118.0815200805664 34.0990104675293)
33.95663070678711,-118.36599731445312,06037601401,INGLEWOOD,3,2141,Low Income,56908.0,POINT (-118.36599731445312 33.95663070678711)
34.04425048828125,-117.74967956542967,06037402504,POMONA,3,1608,Low Income,34679.0,POINT (-117.74967956542967 34.04425048828125)
33.97488021850586,-118.24127960205078,06037533002,UNINCORPORATED,4,1855,Low Income,55625.0,POINT (-118.24127960205078 33.97488021850586)
34.61191177368164,-118.19274139404295,06037910210,PALMDALE,3,1607,Middle Income,129757.0,POINT (-118.19274139404295 34.61191177368164)
33.901809692382805,-118.35487365722656,06037603901,LAWNDALE,3,1430,Middle Income,113500.0,POINT (-118.35487365722656 33.901809692382805)
34.02001190185547,-118.14456939697266,06037531800,UNINCORPORATED,3,753,Middle Income,86369.0,POINT (-118.14456939697266 34.02001190185547)
33.875999450683594,-118.2005615234375,06037570403,LONG BEACH,4,1123,Middle Income,69456.0,POINT (-118.2005615234375 33.875999450683594)
33.912818908691406,-118.33956146240234,06037602510,HAWTHORNE,3,2050,Low Income,53036.0,POINT (-118.33956146240234 33.912818908691406)
34.06623077392578,-118.09049224853516,06037482401,ROSEMEAD,3,1603,Middle Income,68750.0,POINT (-118.09049224853516 34.06623077392578)
33.94546890258789,-118.34391784667967,06037601100,INGLEWOOD,4,2057,Low Income,60174.0,POINT (-118.34391784667967 33.94546890258789)
34.06851959228516,-118.03591918945312,06037433200,EL MONTE,3,1033,Low Income,64655.0,POINT (-118.03591918945312 34.06851959228516)
34.12540817260742,-117.964599609375,06037404600,UNINCORPORATED,3,1000,Middle Income,113250.0,POINT (-117.964599609375 34.12540817260742)
33.96636962890625,-118.23008728027344,06037534804,UNINCORPORATED,4,1550,Middle Income,75172.0,POINT (-118.23008728027344 33.96636962890625)
33.76976013183594,-118.17478942871094,06037576502,LONG BEACH,4,1435,Middle Income,80625.0,POINT (-118.17478942871094 33.76976013183594)
34.05160140991211,-118.08689880371094,06037482404,ROSEMEAD,3,1630,Middle Income,71000.0,POINT (-118.08689880371094 34.05160140991211)
33.76676940917969,-118.17716217041016,06037576601,LONG BEACH,3,1848,Middle Income,69195.0,POINT (-118.17716217041016 33.76676940917969)
33.779518127441406,-118.19806671142578,06037575802,LONG BEACH,3,842,Low Income,54591.0,POINT (-118.19806671142578 33.779518127441406)
33.9765510559082,-118.17337036132812,06037533805,BELL,2,1545,Low Income,60504.0,POINT (-118.17337036132812 33.9765510559082)
34.03200149536133,-118.1530990600586,06037530301,UNINCORPORATED,3,1800,Low Income,64071.0,POINT (-118.1530990600586 34.03200149536133)
34.07392120361328,-117.90770721435548,06037406201,WEST COVINA,3,1511,Low Income,54471.0,POINT (-117.90770721435548 34.07392120361328)
33.9817008972168,-118.44246673583984,06037702900,UNINCORPORATED,4,1045,Middle Income,142440.0,POINT (-118.44246673583984 33.9817008972168)
33.99723052978516,-118.42565155029295,06037702803,CULVER CITY,3,1205,Middle Income,127439.0,POINT (-118.42565155029295 33.99723052978516)
33.7575798034668,-118.11316680908205,06037577604,LONG BEACH,3,1143,Middle Income,108571.0,POINT (-118.11316680908205 33.7575798034668)
33.9022102355957,-118.34835052490234,06037603801,LAWNDALE,3,615,Middle Income,75417.0,POINT (-118.34835052490234 33.9022102355957)
34.0331916809082,-118.163818359375,06037531504,UNINCORPORATED,3,820,Low Income,63163.0,POINT (-118.163818359375 34.0331916809082)
34.05690002441406,-117.75121307373048,06037408800,POMONA,4,2306,Low Income,53045.0,POINT (-117.75121307373048 34.05690002441406)
34.06882095336914,-118.06877899169922,06037433103,EL MONTE,3,1629,Middle Income,67664.0,POINT (-118.06877899169922 34.06882095336914)
34.040611267089844,-117.74954223632812,06037403000,POMONA,4,902,Middle Income,95403.0,POINT (-117.74954223632812 34.040611267089844)
34.02384185791016,-118.1811065673828,06037531301,UNINCORPORATED,2,1945,Low Income,64259.0,POINT (-118.1811065673828 34.02384185791016)
33.840389251708984,-118.25675201416016,06037980025,CARSON,3,759,Middle Income,79250.0,POINT (-118.25675201416016 33.840389251708984)
33.97800827026367,-118.09123229980467,06037502402,PICO RIVERA,4,2240,Middle Income,91856.0,POINT (-118.09123229980467 33.97800827026367)
34.062618255615234,-118.06494140625,06037433506,SOUTH EL MONTE,3,325,Low Income,47230.0,POINT (-118.06494140625 34.062618255615234)
34.10340118408203,-118.08978271484376,06037480102,SAN GABRIEL,2,2139,Middle Income,114743.0,POINT (-118.08978271484376 34.10340118408203)
34.226951599121094,-118.24427032470705,06037300200,UNINCORPORATED,2,750,Middle Income,140417.0,POINT (-118.24427032470705 34.226951599121094)
34.11433029174805,-117.89923095703124,06037404302,UNINCORPORATED,4,556,Middle Income,86063.0,POINT (-117.89923095703124 34.11433029174805)
34.12446975708008,-117.80699157714844,06037400403,SAN DIMAS,4,1010,Middle Income,141667.0,POINT (-117.80699157714844 34.12446975708008)
34.02130889892578,-118.49552154541016,06037701902,SANTA MONICA,3,28,Middle Income,105199.0,POINT (-118.49552154541016 34.02130889892578)
33.916458129882805,-118.30892944335938,06037602802,UNINCORPORATED,3,1800,Middle Income,106793.0,POINT (-118.30892944335938 33.916458129882805)
